year,fullname,name.x,total_podium,total_loss,total_races,prop_podium,prop_loss,MS_WDC,LH_WDC
1991,Michael Schumacher,Benetton,0,2,16,0,0.125,FALSE,FALSE
1991,Michael Schumacher,Jordan,0,1,16,0,0.0625,FALSE,FALSE
1992,Michael Schumacher,Benetton,8,4,16,0.5,0.25,FALSE,FALSE
1993,Michael Schumacher,Benetton,9,7,16,0.5625,0.4375,FALSE,FALSE
1994,Michael Schumacher,Benetton,10,4,16,0.625,0.25,TRUE,FALSE
1995,Michael Schumacher,Benetton,11,5,17,0.6470588235294118,0.29411764705882354,TRUE,FALSE
1996,Michael Schumacher,Ferrari,8,6,16,0.5,0.375,FALSE,FALSE
1997,Michael Schumacher,Ferrari,8,4,17,0.47058823529411764,0.23529411764705882,FALSE,FALSE
1998,Michael Schumacher,Ferrari,11,4,16,0.6875,0.25,FALSE,FALSE
1999,Michael Schumacher,Ferrari,6,2,16,0.375,0.125,FALSE,FALSE
2000,Michael Schumacher,Ferrari,12,4,17,0.7058823529411765,0.23529411764705882,TRUE,FALSE
2001,Michael Schumacher,Ferrari,14,2,17,0.8235294117647058,0.11764705882352941,TRUE,FALSE
2002,Michael Schumacher,Ferrari,17,0,17,1,0,TRUE,FALSE
2003,Michael Schumacher,Ferrari,8,1,16,0.5,0.0625,TRUE,FALSE
2004,Michael Schumacher,Ferrari,15,2,18,0.8333333333333334,0.1111111111111111,TRUE,FALSE
2005,Michael Schumacher,Ferrari,5,7,19,0.2631578947368421,0.3684210526315789,FALSE,FALSE
2006,Michael Schumacher,Ferrari,12,2,18,0.6666666666666666,0.1111111111111111,FALSE,FALSE
2007,Lewis Hamilton,McLaren,12,1,17,0.7058823529411765,0.058823529411764705,FALSE,FALSE
2008,Lewis Hamilton,McLaren,10,4,18,0.5555555555555556,0.2222222222222222,FALSE,TRUE
2009,Lewis Hamilton,McLaren,5,8,17,0.29411764705882354,0.47058823529411764,FALSE,FALSE
2010,Lewis Hamilton,McLaren,9,4,19,0.47368421052631576,0.21052631578947367,FALSE,FALSE
2010,Michael Schumacher,Mercedes,0,9,19,0,0.47368421052631576,FALSE,FALSE
2011,Lewis Hamilton,McLaren,6,3,19,0.3157894736842105,0.15789473684210525,FALSE,FALSE
2011,Michael Schumacher,Mercedes,0,8,19,0,0.42105263157894735,FALSE,FALSE
2012,Lewis Hamilton,McLaren,7,7,20,0.35,0.35,FALSE,FALSE
2012,Michael Schumacher,Mercedes,1,14,20,0.05,0.7,FALSE,FALSE
2013,Lewis Hamilton,Mercedes,5,2,19,0.2631578947368421,0.10526315789473684,FALSE,FALSE
2014,Lewis Hamilton,Mercedes,16,3,19,0.8421052631578947,0.15789473684210525,FALSE,TRUE
2015,Lewis Hamilton,Mercedes,17,1,19,0.8947368421052632,0.05263157894736842,FALSE,TRUE
2016,Lewis Hamilton,Mercedes,17,2,21,0.8095238095238095,0.09523809523809523,FALSE,FALSE
2017,Lewis Hamilton,Mercedes,13,0,20,0.65,0,FALSE,TRUE
2018,Lewis Hamilton,Mercedes,17,1,21,0.8095238095238095,0.047619047619047616,FALSE,TRUE
2019,Lewis Hamilton,Mercedes,17,0,21,0.8095238095238095,0,FALSE,TRUE
2020,Lewis Hamilton,Mercedes,14,0,17,0.8235294117647058,0,FALSE,TRUE
2021,Lewis Hamilton,Mercedes,17,2,22,0.7727272727272727,0.09090909090909091,FALSE,FALSE
2022,Lewis Hamilton,Mercedes,9,4,22,0.4090909090909091,0.18181818181818182,FALSE,FALSE
2023,Lewis Hamilton,Mercedes,6,2,22,0.2727272727272727,0.09090909090909091,FALSE,FALSE
2024,Lewis Hamilton,Mercedes,5,4,24,0.20833333333333334,0.16666666666666666,FALSE,FALSE
